Labs,lats,longs
"Sri Venkateswara Institute of Medical Sciences, Tirupati",13.63551,79.41989
"Rangaraya Medical College, Kakinada",16.96036,82.23809
"Sidhartha Medical College, Vijaywada",16.517495,80.671350
"Govt Medical College, Ananthpur",14.671449,77.592906
"Guntur Medical College, Guntur",16.2978948,80.4377279
"Rajiv Gandhi Institute of Medical Sciences, Kadapa",14.4775,78.82353
"Andhra Medical College, Visakhapatnam",17.68009,83.20161
"Gauhati Medical College, Guwahati",26.1595109,91.7686637
"Regional Medical Research Center, Dibrugarh",27.47989,94.90837
"Jorhat Medical College, Jorhat",26.75751,94.20306
"Silchar Medical College, Silchar",24.7751968,92.7971403
"Fakkhruddin Ali Ahmed Medical College, Barpeta",26.32293,91.00632
"Tezpur Medical College, Tezpur",26.6806735,92.652893
"Rajendra   Memorial   Research   Institute   of   Medical Sciences, Patna",25.5997495,85.1975182
"Indira Gandhi Institute Medical Sciences, Patna",25.60222,85.11936
"Patna Medical College, Patna",25.6200266,85.1581066
"Darbhanga Medical College, Darbhanga",26.1340657,85.9042111
"SKMCH, Muzaffarpur",26.1677664,85.3913936
"All India Institute of Medical Sciences, Patna",25.5610323,85.0421814
Post   Graduate   Institute   of   Medical   Education   & Research,-37.7,145.18333
Govt Medical College,21.1295149,79.0974689
*Institute of Microbial Technology,30.7472847,76.7322142
"All India Institute of Medical Sciences, Raipur",21.2561461,81.5788694
"Late   Baliram   Kashyap   M   Govt   Medical   College, Jagdalpur",19.0836,82.02331
"JNM Medical College, Raipur",20.91667,82.0
"All India Institute Medical Sciences,Delhi",28.567758,77.210171
Lady Hardinge Medical College,64.85694,-147.80278
National Centre for Disease Control,28.6795472,77.2222166
Ram Manohar Lohia Hospital,28.6259241,77.2008646
Institute of Liver & Biliary Sciences,28.5068653,77.1656404
Army Hospital Research & Referral,28.5833898,77.1573395
Maulana Azad Medical College,28.6355849,77.237824
Vardhman   Mahavir   Medical   College   &   Safdarjung Hospital,28.5685701,77.2064068
"BJ Medical College, Ahmedabad",23.0524472,72.6027712
"MP Shah Govt Medical College, Jamnagar",22.47292,70.06673
"Govt Medical College, Surat",20.91667,73.05
"Govt Medical College, Bhavnagar",21.66667,71.83333
"Govt Medical College, Vadodara",22.29941,73.20812
"Govt Medical College, Rajkot",22.29161,70.79322
"NHL Medical College, Ahmedabad",23.0187158,72.5714269
"GMERS, Ahmedabad",23.0827619,72.524609
"National Institute of Occupational Health, Ahmedabad",23.02579,72.58727
"Surat   Municipal   Institute   of   Medical   Education   & Research (SMIMER), Surat",20.91667,73.05
"Goa Medical College, Goa",15.4640456,73.8584284
"Pt BD Sharma Post Graduate Inst Of Med Sciences, Rohtak, Haryana",28.89447,76.58917
"BPS Govt Medical College, Sonipat",28.99587,77.01165
"ESIC Hospital, Faridabad",28.5143778,77.2815719
"Kalpana Chawla Govt Medical College, Karnal",29.69197,76.98448
"*ICAR-National Research Centre on Equines, Hisar",29.15394,75.72294
"Indira Gandhi Medical College, Shimla",31.16667,77.58333
"Dr Rajendra Prasad Govt Medical College, Tanda",30.78847,31.00192
"Central Research Institute, Kasauli",30.89856,76.96587
"Govt Medical College, Jammu",32.73569,74.86911
Command Hospital (NC) Udhampur,32.92431,75.13573
"Sher-i-Kashmir Institute of Medical Sciences, Srinagar",34.1367751,74.8002085
